NO.,이름,힌트1,힌트2,힌트3,힌트4,힌트5
11,메갈로사우루스,나는 쥐라기 영국에 살았던 육식공룡이야.,나는 세계 최초로 발견된 육식공룡이야.,내 이름의 뜻은 거대한 도마뱀이야.,내 화석은 1676년에 발견됐지만 이름은 1824년에 붙여졌어,나는 한국에서도 메갈로사우루스류 이빨화석이 발견됐어
12,모사사우루스,"나는 백악기 유럽, 북아메리카에 살았던 수장룡이야.",나는 큰 해양생물이나 같은 종도 잡아먹은 수장룡이야.,내 이름의 뜻은 뫼즈의 도마뱀이야.,나는 생태계에서 높은 지위를 가지고 같은 종을 포함해 대부분의 먹잇감을 잡아먹었어.,나는 영화 쥐라기 월드에 등장하며 인지도가 상승했어.
13,바리오닉스,나는 백악기 영국에 살았던 육식공룡이야.,나는 오늘날의 불곰처럼 물고기를 잡아 먹어.,내 이름의 뜻은 무거운 발톱이야.,나는 앞 발에 30cm 가량의 큰 발톱이 존재헸어,"나는 영화 쥐라기 월드, 아이스 에이지 등에 나오면서 유명해졌어"
14,벨로키랍토르,나는 백악기 몽골에서 살았던 육식공룡이야.,나는 날카로운 두번째 발톱이 있어.,"내 이름은 날쌘 도둑, 재빠른 약탈자란 뜻이야.",나는 사막에서 프로토케라톱스를 사냥하다가 모래폭풍에 휘말려서  같이 화석으로 발견되었어.,나는 영화 쥐라기 공원에서 거대한 크기로 나오지만 실제로는 훨씬 크기가 작았어
15,브라키오사우루스,나는 쥐라기 북아메리카 및 아프리카에 살았던 초식공룡이야.,나는 목이 비교적 높게 뻗어있어.,내 이름의 뜻은 팔 도마뱀이야.,나는 앞 발이 뒷 발에 비해 매우 높고 커,나는 과거에는 물 속에서 살았다고 추측됐지만 현재는 아니라고 밝혀졌어
16,쇼니사우루스,나는 트라이아스기 북아메리카에 살았던 수장룡이야.,나는 거대한 크기에 비해 작은 물고기 등을 먹이로 먹었어.,내 이름의 뜻은 쇼쇼니의 도마뱀이야.,나는 등지느러미가 없고 앞지느러미와 뒷지느러미가 같은 비교적 원시적 형태 가졌어.,나는 한 장소에서 40여 마리 가까운 개체가 발견된 것으로 보아 무리생활을 했던 것으로 추정되고 있어.
17,스테고사우루스,나는 쥐라기 북아메리카 및 유럽에 살았던 초식공룡이야.,나는 등에 골판이 존재하고 꼬리에 개4개의 가시가 있어.,내 이름의 뜻은 지붕 도마뱀이야.,"내 골판은 방어용, 체온 조절용, 성적 과시용으로 추측되고 있어.",내 꼬리에 있는 4개의 가시는 무려 1m에 달해서 매우 위협적이었어.
18,스티라코사우루스,나는 백악기 북아메리카에 살았던 초식공룡이야.,나는 코에 긴 뿔이 있고 머리에 6개의 뿔이 있어.,내 이름의 뜻은 가시가 있는 도마뱀이야.,"내 코에 있는 거대한 뿔의 크기는 1m로 방어 도구, 혹은 신호용으로 추정되고 있어.",내 머리에 있는 거대한 프릴은 피부색을 변화시키거나 짝짓기용으로 추정되고 있어.
19,스피노사우루스,나는 백악기 북아프리카에 살았던 육식공룡이야.,내 등에는 거대한 돛이 있어.,내 이름의 뜻은 척추 도마뱀이야.,나는 세계에서 가장 거대한 육식공룡이야,나는 크기가 거대했는데 주로 강에서 헤엄치며 물고기를 잡아먹었어.
20,시조새,나는 쥐라기 서유럽에 살았던 육식공룡이야.,내 몸은 깃털로 덮여있어.,내 이름의 뜻은 고대의 날개란 뜻이야.,내 정식 이름은 아르카이옵테릭스야.,나는 공룡과 새 사이 중간 단계로 추정되고 있어.
21,아르젠티노사우루스,나는 백악기 남미에 살았던 초식공룡이야.,나는 발견된 공룡들 중 가장 거대한 공룡이야.,내 이름의 뜻은 아르헨티나의 도마뱀이야.,나는 등뼈의 높이만 1.5m로 몸이 매우 거대했어.,새끼 공룡이 성체가 되기까지는 약 30년 이상이 걸렸어
22,아르켈론,나는 백악기 북아메리카에 살았던 바다거북이야.,나는 현생 바다거북의 조상격인 거북이야.,내 이름의 뜻은 통치하는 도마뱀이야.,나는 발견되는 화석 중 지느러미가 없는 화석들이 있는데 포식자에게 당해 잃은 것으로 추정되고 있어.,나는 현생 바다거북과는 달리 머리와 지느러미를 등껍질 안으로 집어넣을 수 없어
23,아마르가사우루스,나는 백악기 남미에 살았던 초식공룡이야.,나는 두 줄의 가시가 목부터 꼬리까지 나있어.,내 이름의 뜻은 아마르가의 도마뱀이야.,"내 목에 나있던 가시는 체온 유지, 방어용 등으로 추정되고 있어.",저희는 수컷에게만 가시가 있어서 같은 종끼리 싸울 때 사용했을 것으로 추정되고 있어.
24,아파토사우루스,나는 쥐라기 북아메리카에 살았던 초식공룡이야.,나는 채찍같이 긴 꼬리를 균형을 잡거나 방어용으로 사용해.,내 이름의 뜻은 속이는 도마뱀이야.,나는 디플로도쿠스에 비해 길이는 짧았지만 체형이 육중해서 무게가 더 많이 나갔어,초창기 화석 복원 당시에는 카마라사우루스의 두개골로 오해해서 잘못 복원된 사례가 많았어
25,안킬로사우루스,나는 백악기 북아메리카에 살았던 초식공룡이야.,나는 꼬리 끝부분에 곤봉이 달려있어..,내 이름의 뜻은 융합된 도마뱀이야.,나는 등에 갑옷과 꼬리에 달린 곤봉으로 나를 보호할 수 있었어,나는 강력한 갑옷과 곤봉에도 불구하고 티라노사우루스에게 잡아먹힌 화석이 종종 발견되고 있어.
26,알로사우루스,"나는 쥐라기 북아메리카, 서유럽에 살았던 육식공룡이야.",나는 눈 앞쪽에 한 쌍의 볏이 존재해.,"내 이름은 특별한 도마뱀, 또는 이상한 도마뱀이란 뜻이야.",나는 쥐라기 후기 북아메리카에서 가장 번성한 육식공룡 중 하나야.,나는 대형 육식공룡이지만 체형이 호리호리해서 몸무게가 많이 나가지 않아
27,에드몬토사우루스,나는 백악기 북아메리카에 살았던 초식공룡이야.,나는 캐나다 앨버타주에서 최초로 발견된 화석에서 확인할 수 있어..,내 이름의 뜻은 상처내는 이빨이야.,나는 이빨이 최대 2000개가 있어 입 속에서 앞뒤로 음식물을 움직이며 섭취하는 게 가능했어,나는 티라노사우루스와 공존했었기에 주 먹이 중 하나였어
28,엘라스모사우루스,나는 백악기 북아메리카에 살았던 수장룡이야.,나는 목이 매우 긴 수장룡이야.,내 이름의 뜻은 얇은 판 도마뱀이야.,나는 목뼈가 71개로 척추동물 중 가장 많은 편에 속해,나는 목이 긴 편에 비해 뼈마디가 꺾이는 각도가 매우 제한적이고 잘 꺾이지 않아서 유연하지 않았어
29,오비랍토르,나는 백악기 몽골에 살았던 육식공룡이야.,나는 예전에는 알 도둑으로.알려져있었어,내 이름의 뜻은 알 도둑이야.,나는 사실 알 도둑이 아니라 내 알을 품고 있었던 것이야.,나는 거대한 부리가 존재해서 현재는 잡식동물로 추정되고 있어.
30,오우라노사우루스,나는 백악기 아프리카에 살았던 초식공룡이야.,나는 등에 돛 모양의 척추돌기가 있어.,내 이름의 뜻은 용감한 도마뱀이야.,내 등에 있는 척추 돌기는 크고 화려해서 암컷을 유혹하는데 썼던 것으로 추정되고 있어.,내 혹은 돌기가 낙타의 혹과 같아서 지방을 축적하고 에너지를 저장했다고 추정되고 있어.
31,유티란누스,나는 백악기 중국에 살았던 육식공룡이야.,나는 깃털을 가진 공룡들 중 가장 거대해.,내 이름의 뜻은 깃털 달린 폭군이야.,내가 살던 당시의 중국 날씨가 추웠기 때문에 체온 유지를 위해 깃털이 발달했어,나는 티라노사우루스와 아주 유사한 사촌 격인 공룡이야.
32,이구아노돈,나는 백악기 유럽에 살았던 초식공룡이야.,내 앞발에 있는 첫 발가락이 매우 날카로워.,내 이름의 뜻은 이구아나의 이빨이야.,나는 이빨이 발달하고 사족보행과 이족보행이 모두 가능해 매우 성공적으로 진화했어.,나는 과거에 엄지손가락 발톱을 뿔로 착각해 코뿔을 단 거대한 도마뱀처럼 그려졌어.
33,이크티오사우루스,나는 쥐라기 유럽 및 아시아에 살았던 수장룡이야.,나는 크기에 비해 눈이 엄청 커,내 이름의 뜻은 물고기 도마뱀이야.,"나는 큰 눈 덕분에 사냥할 때 시각에 의존해 물고기, 갑각류 등을 사냥했어",나는 새끼를 낳고 있는 화석이 발견되어 난태생으로 추정되고 있어.
34,친타오사우루스,나는 백악기 동아시아에 살았던 초식공룡이야.,나는 덩치가 크고 머리에 독특한 볏이 있어. ,내 이름의 뜻은 칭다오의 도마뱀이야.,나는 머리에 달린 볏이 둥글고 넓적해 뒤쪽으로 기울어졌어.,나는 영화 한반도의 공룡에 등장하면서 유명해졌어
35,카르노타우루스,나는 백악기 남미에 살았던 육식공룡이야.,나는 머리에 뿔 두 개가 있고 매우 짧은 앞다리를 가지고 있어.,내 이름은 육식 황소란 뜻이야.,"나는 앞발이 매우 짧게 퇴화되어 있지만, 다리 근육이 매우 강력해 시속 50km로 질주도 가능해.",나는 영화 다이너소어에 등장해 유명해졌어.
36,카르카로돈토사우루스,나는 백악기 북아프리카에 살았던 육식공룡이야.,나는 머리 길이가 1.6m에 달하는 거대 수각류야.,내 이름의 뜻은 상어 이빨 도마뱀이야.,나는 스피노사우루스와 생존시기와  서식지가 같았지만 선호하는 환경이 달라서 먹이 다툼을 할  필요가 없었어,나는 남아메리카에 살던 기가노토사우루스와 특징들이 비슷해
37,케라토사우루스,"나는 쥐라기 북아메리카, 유럽에 살았던 육식공룡이야.","나는 코에 커다란 뿔 하나가 있고, 이마에는 뿔이 두 개 있어.",내 이름의 뜻은 뿔 도마뱀이야.,내 머리에 달린 뿔은 전투용보다는 종족 식별이나 짝짓기 용으로 추정되고 있어.,나는 크기가 비교적 작아 알로사우루스의 먹잇감이 되기도 했어.
38,케찰코아틀루스,나는 백악기 북아메리카에 살았던 익룡이야.,나는 가장 거대한 익룡 중 하나야.,내 이름은 아즈텍 신화의 케찰코아틀에서 따왔어.,나는 과거에는  날아다니며 먹이를 낚아채는 사냥 방식으로 추측됐지만 현재는 육상 사냥을 했을 것으로 추측되고 있어.,"나는 뼛속이 비어 있어 무게를 줄여주었으나, 날개의 막이 얇아 한번 찢어지면 영원히 날 수 없었어"
39,타니스트로페우스,나는 트라이아스기 유럽에 살았던 수장룡이야.,나는 몸길이 대비 목의 길이가 가장 꼬리를 가졌어.,내 이름은 기다란 척추란 뜻이야.,나는 목이 긴 편인데 비해 무게 중심이 꼬리쪽에 있어,나는 친척 종에 비해 다리가 길고 굳게 뻗어있어 육상 생활에 적합한 형태야.
40,테리지노사우루스,나는 백악기 동아시아에 살았던 초식공룡이야.,나는 양 팔에 긴 앞발톱을 가졌어.,내 이름의 뜻은 큰 낫 도마뱀이야.,나는 양 팔에 달린 긴 앞발톱으로 어른 포식자로부터 나를 보호했어.,나는 발톱으로 직접 타격하기보다 허공에 휘둘러 겁을 주거나 팔을 벌려 몸을 크게 보이도록 했을거로 추정되고 있어.
41,트로오돈,나는 백악기 북아메리카에 살았던 육식공룡이야.,나는 커다란 눈과 뇌를 가지고 있어.,내 이름의 뜻은 상처내는 이빨이야.,나는 다른 공룡에 비해 세 배 더 큰 뇌를 가지고 있어,나는 만약 공룡이 멸종하지 않았다면 트로오돈이 인간처럼 진화했을 수도 있어
42,트리케라톱스,나는 백악기 북아메리카에 살았던 초식공룡이야.,나는 머리에 뿔 두 개와 코에 뿔 한 개가 있어.,내 이름의 뜻은 3개의 뿔이 달린 얼굴이야.,나는 머리깃이 뼈로 꽉 차있어서 가장 공격적으로 진화한 형태야.,나는 뿔의 길이가 1m가 넘어 티라노사우루스에게도 치명상을 입힐 수 있었어
43,티라노사우루스,나는 백악기 북아메리카에 살았던 육식공룡이야.,나는 공룡 중에서 가장 유명한 공룡이야. 무는 힘이 엄청 강했어,내 이름의 뜻은 폭군 도마뱀이야.,나는 백악기 말 북아메리카 생태계 최고 포식자야.,"나는 영화 쥐라기 공원, 토이 스토리 등에 나오면서 가장 유명한 공룡이 되었어"
44,틸로사우루스,나는 백악기 북아메리카에 살았던 수장룡이야.,나는 먹잇감을 산산조각 낼 만큼 악력이 강했어.,내 이름의 뜻은 혹 도마뱀이야.,나는 주둥이가 헤엄칠 때 저항을 줄여주어서 이것을 이용해 먹이나 상대방을 들이받은 것으로 추정되고 있어.,나는 먹잇감을 찾아 심해로도 갔었기 때문에 심해에서 얻은 병의 흔적을 화석에서 찾을 수 있어
45,파라사우롤로푸스,나는 백악기 북아메리카에 살았던 육식공룡이야.,나는 머리 뒷편에 비어있는 관이 있어.,내 이름의 뜻은 사우롤로푸스와 비슷한이야.,과거에는 내가 내 머리의 관으로 물 속에서 숨을 쉬었을 것으로 추측되었지만 아니라고 밝혀졌어,나는 머리의 관을 통해 큰 소리를 내어 소통 및 경쟁을 했을 것으로 추정되고 있어.
46,파키케팔로사우루스,나는 백악기 북아메리카에 살았던 초식공룡이야.,내 머리는 두께가 20cm에서 30cm로 매우 두꺼워.,내 이름의 뜻은 두꺼운 머리를 가진 도마뱀이야.,나는 두꺼운 머리로 서로 들이받았을 것으로 추정되고 있어.,나는 암컷이나 새끼의 머리에서 상처가 없는것으로 볼때 수컷만 싸웠을 것으로 추정되고 있어.
47,프로토케라톱스,나는 백악기 몽골에서 살았던 초식공룡이야.,나는 머리에 뿔이 없는 큰 프릴이 있어.,내 이름의 뜻은 최초의 뿔달린 도마뱀이야.,나는 사막에서 벨로키랍토르와 싸우던 중에 모래폭풍에 휘말려 같이 화석으로 발견되었어.,나는 트리케라톱스같은 후대의 케라톱스류의 조상격인 공룡이야.
48,프테라노돈,나는 백악기 북아메리카에 살았던 익룡이야.,나는 머리에 볏이 달린 익룡이야.,내 이름은 이빨없는 날개란 뜻이야.,나는 물새처럼 낮은 고도에서 물로 뛰어드는 사냥방식을 가졌을 것으로 추정되고 있어. ,나는 영화 쥐라기 공원에 나와 인지도를 쌓으며 가장 유명한 익룡이 되었어.
49,플라테오사우루스,나는 트라이아스기 유럽에 살았던 초식공룡이야.,나는 초식공룡의 시초격인 공룡이야.,내 이름의 뜻은 납작한 도마뱀이야.,나는 개체마다 크기가 다른데   사는 곳마다 먹이감의 양이 달라서 먹는 양에 따라 크기가 다른 것으로 추정되고 있어.,나는 튼튼한 뒷다리와 긴 목 덕분에 나무의 높은 부분까지 닿을 수 있었어
50,플레시오사우루스,나는 쥐라기 유럽에 살았던 수장룡이야.,나는 목이 길고 가늘어서 내 몸으로는 육지에서 움직일 수가 없었어.,내 이름의 뜻은 도마뱀에 가까운 것이야.,나는 과거 네스호에서 발견된 네시가 플레시오사우루스라고 추측되고 있어.,나는 새끼를 낳고 있는 화석이 발견되어 난태생으로 추정되고 있어.
